id,rank,title,worldwideLifetimeGross,domesticLifetimeGross,domestic,foreignLifetimeGross,foreign,year,cast,cast_link,nepos,pct_nepo
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Paul Bettany,/wiki/Paul_Bettany,['https://en.wikipedia.org/wiki/Thane_Bettany'],0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Elizabeth Olsen,/wiki/Elizabeth_Olsen,False,0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Anthony Mackie,/wiki/Anthony_Mackie,False,0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Sebastian Stan,/wiki/Sebastian_Stan,False,0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Danai Gurira,/wiki/Danai_Gurira,False,0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Letitia Wright,/wiki/Letitia_Wright,False,0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Dave Bautista,/wiki/Dave_Bautista,False,0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Zoe Saldaña,/wiki/Zoe_Salda%C3%B1a,False,0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Josh Brolin,/wiki/Josh_Brolin,['https://en.wikipedia.org/wiki/James_Brolin'],0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Chris Pratt,/wiki/Chris_Pratt,False,0.3684210526315789
tt10872600,6,Spider-Man: No Way Home,"$1,917,430,023","$814,115,070",42.5%,"$1,103,314,953",57.5%,2021,Tom Holland,/wiki/Tom_Holland,['https://en.wikipedia.org/wiki/Dominic_Holland'],0.15384615384615385
tt10872600,6,Spider-Man: No Way Home,"$1,917,430,023","$814,115,070",42.5%,"$1,103,314,953",57.5%,2021,Zendaya,/wiki/Zendaya,False,0.15384615384615385
tt10872600,6,Spider-Man: No Way Home,"$1,917,430,023","$814,115,070",42.5%,"$1,103,314,953",57.5%,2021,Benedict Cumberbatch,/wiki/Benedict_Cumberbatch,"['https://en.wikipedia.org/wiki/Timothy_Carlton', 'https://en.wikipedia.org/wiki/Wanda_Ventham']",0.15384615384615385
tt10872600,6,Spider-Man: No Way Home,"$1,917,430,023","$814,115,070",42.5%,"$1,103,314,953",57.5%,2021,Jacob Batalon,/wiki/Jacob_Batalon,False,0.15384615384615385
tt10872600,6,Spider-Man: No Way Home,"$1,917,430,023","$814,115,070",42.5%,"$1,103,314,953",57.5%,2021,Jon Favreau,/wiki/Jon_Favreau,False,0.15384615384615385
tt10872600,6,Spider-Man: No Way Home,"$1,917,430,023","$814,115,070",42.5%,"$1,103,314,953",57.5%,2021,Jamie Foxx,/wiki/Jamie_Foxx,False,0.15384615384615385
tt10872600,6,Spider-Man: No Way Home,"$1,917,430,023","$814,115,070",42.5%,"$1,103,314,953",57.5%,2021,Willem Dafoe,/wiki/Willem_Dafoe,False,0.15384615384615385
tt10872600,6,Spider-Man: No Way Home,"$1,917,430,023","$814,115,070",42.5%,"$1,103,314,953",57.5%,2021,Alfred Molina,/wiki/Alfred_Molina,False,0.15384615384615385
tt10872600,6,Spider-Man: No Way Home,"$1,917,430,023","$814,115,070",42.5%,"$1,103,314,953",57.5%,2021,Benedict Wong,/wiki/Benedict_Wong,False,0.15384615384615385
tt10872600,6,Spider-Man: No Way Home,"$1,917,430,023","$814,115,070",42.5%,"$1,103,314,953",57.5%,2021,Tony Revolori,/wiki/Tony_Revolori,False,0.15384615384615385
tt10872600,6,Spider-Man: No Way Home,"$1,917,430,023","$814,115,070",42.5%,"$1,103,314,953",57.5%,2021,Marisa Tomei,/wiki/Marisa_Tomei,False,0.15384615384615385
tt10872600,6,Spider-Man: No Way Home,"$1,917,430,023","$814,115,070",42.5%,"$1,103,314,953",57.5%,2021,Andrew Garfield,/wiki/Andrew_Garfield,False,0.15384615384615385
tt10872600,6,Spider-Man: No Way Home,"$1,917,430,023","$814,115,070",42.5%,"$1,103,314,953",57.5%,2021,Tobey Maguire,/wiki/Tobey_Maguire,False,0.15384615384615385
