,year,attendee,source,nepo
91,2021,Sienna Miller,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,"['https://en.wikipedia.org/wiki/Savannah_Miller', 'https://en.wikipedia.org/wiki/Becki_Newton', 'https://en.wikipedia.org/wiki/Matt_Newton']"
92,2021,Tyler Mitchell,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
93,2021,Gabrielle Union,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,['https://en.wikipedia.org/wiki/Saweetie']
94,2021,Maria Sharapova,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
95,2021,Taylor Hill,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
96,2021,Gemma Chan,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
97,2021,Mindy Kaling,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
98,2021,Tomi Adeyemi,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
99,2021,Giveon,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
100,2021,Juan David Borrero,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
101,2021,Jasmine Tookes,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
102,2021,Diane Kruger,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
103,2021,Alexandria Ocasio-Cortez,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
104,2021,Aurora James,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
105,2021,Amandla Stenberg,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
106,2021,Emily Blunt,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,"['https://en.wikipedia.org/wiki/Peter_Blunt', 'https://en.wikipedia.org/wiki/Crispin_Blunt', 'https://en.wikipedia.org/wiki/Stanley_Tucci']"
107,2021,Cynthia Erivo,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
108,2021,Imaan Hammam,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
109,2021,Pete Davidson,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
110,2021,Ciara,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
111,2021,Megan Fox,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
112,2021,Chloe Bailey,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,['https://en.wikipedia.org/wiki/Halle_Bailey']
113,2021,Halle Bailey,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,['https://en.wikipedia.org/wiki/Chloe_Bailey']
114,2021,Adut Akech,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
115,2021,Claire Danes,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
116,2021,Dominic Cooper,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
117,2021,Gilian Anderson,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
118,2021,Donatella Versace,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,"['https://en.wikipedia.org/wiki/Santo_Versace', 'https://en.wikipedia.org/wiki/Gianni_Versace']"
119,2021,Maluma,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
120,2021,Lorde,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,['https://en.wikipedia.org/wiki/Sonja_Yelich']
121,2021,Corey Gamble,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
122,2021,Kris Jenner,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
123,2021,Chloe Fineman,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
124,2021,Mary J. Blige,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
125,2021,Irina Shayk,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
126,2021,Jeremy O. Harris,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
127,2021,Virgil Abloh,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
128,2021,Megan Rapinoe,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
129,2021,Audra McDonald,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
130,2021,Precious Lee,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
131,2021,Anok Yai,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
132,2021,Addison Rae,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
133,2021,Tracee Ellis Ross,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,"['https://en.wikipedia.org/wiki/Robert_Ellis_Silberstein', 'https://en.wikipedia.org/wiki/Diana_Ross']"
134,2021,Emma Raducanu,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
135,2021,Ayesha Curry,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
136,2021,Stephan Curry,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
137,2021,Nikkie de Jager,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
138,2021,Karlie Kloss,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
139,2021,Wes Gordon,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
140,2021,Zoey Deutch,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,"['https://en.wikipedia.org/wiki/Lea_Thompson', 'https://en.wikipedia.org/wiki/Howard_Deutch']"
141,2021,Madison Beer,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
142,2021,Eiza González,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
143,2021,Elliot Page,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
144,2021,Zac Posen,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
145,2021,Debbie Harry,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
146,2021,Ben Platt,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,['https://en.wikipedia.org/wiki/Marc_Platt_(producer)']
