image,link,title,year,type,id,cast
"https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_QL75_UY207_CR1,0,140,207_.jpg",https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21,It's a Wonderful Life,1946,film,tt0038650,"[['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell', 'Henry Travers', 'Beulah Bondi', 'Ward Bond', 'Frank Faylen', 'Gloria Grahame'], ['/wiki/James_Stewart', '/wiki/Donna_Reed', '/wiki/Lionel_Barrymore', '/wiki/Thomas_Mitchell_(actor)', '/wiki/Henry_Travers', '/wiki/Beulah_Bondi', '/wiki/Ward_Bond', '/wiki/Frank_Faylen', '/wiki/Gloria_Grahame']]"
"https://m.media-amazon.com/images/M/MV5BOGNiY2QzOTAtOWNlZC00NjAwLWFmMTAtNTJhYTBiNTY4ODU0XkEyXkFqcGdeQXVyMTQyMTMwOTk0._V1_QL75_UX140_CR0,1,140,207_.jpg",https://www.imdb.com/title/tt0047478/?ref_=chttp_t_22,Seven Samurai,1954,film,tt0047478,"[['Toshiro Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Isao Kimura', 'Daisuke Katō', 'Seiji Miyaguchi', 'Yoshio Inaba', 'Minoru Chiaki', 'Kamatari Fujiwara', 'Kokuten Kōdō', 'Yoshio Tsuchiya', 'Eijirō Tōno', 'Jun Tatara', 'Atsushi Watanabe', 'Yoshio Kosugi', 'Bokuzen Hidari', 'Yukiko Shimazaki'], ['/wiki/Toshiro_Mifune', '/wiki/Takashi_Shimura', '/wiki/Keiko_Tsushima', '/wiki/Isao_Kimura', '/wiki/Daisuke_Kat%C5%8D', '/wiki/Seiji_Miyaguchi', '/wiki/Yoshio_Inaba', '/wiki/Minoru_Chiaki', '/wiki/Kamatari_Fujiwara', '/wiki/Kokuten_K%C5%8Dd%C5%8D', '/wiki/Yoshio_Tsuchiya', '/wiki/Eijir%C5%8D_T%C5%8Dno', '', '/wiki/Atsushi_Watanabe_(actor,_born_1898)', '/wiki/Yoshio_Kosugi', '/wiki/Bokuzen_Hidari', '/wiki/Yukiko_Shimazaki']]"
"https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY207_CR0,0,140,207_.jpg",https://www.imdb.com/title/tt0102926/?ref_=chttp_t_23,The Silence of the Lambs,1991,film,tt0102926,"[['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn', 'Ted Levine'], ['/wiki/Jodie_Foster', '/wiki/Anthony_Hopkins', '/wiki/Scott_Glenn', '/wiki/Ted_Levine']]"
"https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UY207_CR1,0,140,207_.jpg",https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24,Saving Private Ryan,1998,film,tt0120815,"[['Tom Hanks', 'Edward Burns', 'Matt Damon', 'Tom Sizemore'], ['/wiki/Tom_Hanks', '/wiki/Edward_Burns', '/wiki/Matt_Damon', '/wiki/Tom_Sizemore']]"
"https://m.media-amazon.com/images/M/MV5BMGU5OWEwZDItNmNkMC00NzZmLTk1YTctNzVhZTJjM2NlZTVmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY207_CR0,0,140,207_.jpg",https://www.imdb.com/title/tt0317248/?ref_=chttp_t_25,City of God,2002,film,tt0317248,"[['Alexandre Rodrigues', 'Leandro Firmino Da Hora', 'Jonathan Haagensen', 'Phellipe Haagensen', 'Douglas Silva', 'Daniel Zettel', 'Seu Jorge'], ['/wiki/Alexandre_Rodrigues_(actor)', '/wiki/Leandro_Firmino', '/wiki/Jonathan_Haagensen', '/wiki/Phellipe_Haagensen', '/wiki/Douglas_Silva', '', '/wiki/Seu_Jorge']]"
"https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,1,140,207_.jpg",https://www.imdb.com/title/tt0118799/?ref_=chttp_t_26,Life Is Beautiful,1997,film,tt0118799,"[['Roberto Benigni', 'Nicoletta Braschi'], ['', '/wiki/Nicoletta_Braschi']]"
"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_QL75_UX140_CR0,0,140,207_.jpg",https://www.imdb.com/title/tt0120689/?ref_=chttp_t_27,The Green Mile,1999,film,tt0120689,"[['Tom Hanks', 'David Morse', 'Bonnie Hunt', 'Michael Clarke Duncan', 'James Cromwell', 'Michael Jeter', 'Dabbs Greer', 'Graham Greene', 'Doug Hutchison', 'Sam Rockwell', 'Barry Pepper', 'Jeffrey DeMunn', 'Patricia Clarkson', 'Harry Dean Stanton'], ['/wiki/Tom_Hanks', '/wiki/David_Morse', '/wiki/Bonnie_Hunt', '/wiki/Michael_Clarke_Duncan', '/wiki/James_Cromwell', '/wiki/Michael_Jeter', '/wiki/Dabbs_Greer', '/wiki/Graham_Greene_(actor)', '/wiki/Doug_Hutchison', '/wiki/Sam_Rockwell', '/wiki/Barry_Pepper', '/wiki/Jeffrey_DeMunn', '/wiki/Patricia_Clarkson', '/wiki/Harry_Dean_Stanton']]"
"https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX140_CR0,0,140,207_.jpg",https://www.imdb.com/title/tt0103064/?ref_=chttp_t_28,Terminator 2: Judgment Day,1991,film,tt0103064,"[['Arnold Schwarzenegger', 'Linda Hamilton', 'Robert Patrick'], ['/wiki/Arnold_Schwarzenegger', '/wiki/Linda_Hamilton', '/wiki/Robert_Patrick']]"
"https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_QL75_UX140_CR0,3,140,207_.jpg",https://www.imdb.com/title/tt0076759/?ref_=chttp_t_29,Star Wars: Episode IV - A New Hope,1977,film,tt0076759,"[['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Peter Cushing', 'Alec Guinness'], ['/wiki/Mark_Hamill', '/wiki/Harrison_Ford', '/wiki/Carrie_Fisher', '/wiki/Peter_Cushing', '/wiki/Alec_Guinness']]"
"https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,5,140,207_.jpg",https://www.imdb.com/title/tt0088763/?ref_=chttp_t_30,Back to the Future,1985,film,tt0088763,"[['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover'], ['/wiki/Michael_J._Fox', '/wiki/Christopher_Lloyd', '/wiki/Lea_Thompson', '/wiki/Crispin_Glover']]"
