,title,cast,nepos,pct_nepo
133,Ms. Marvel,Nimra Bucha,['https://en.wikipedia.org/wiki/Sana_Bucha'],11.11111111111111
134,Ms. Marvel,Alysia Reiner,True,11.11111111111111
135,Ms. Marvel,Anjali Bhimani,True,11.11111111111111
136,Ms. Marvel,Saagar Shaikh,True,11.11111111111111
137,Ms. Marvel,Aramis Knight,True,11.11111111111111
138,Ms. Marvel,Laurel Marsden,True,11.11111111111111
139,Ms. Marvel,Adaku Ononogbo,True,11.11111111111111
140,Ms. Marvel,Azhar Usman,True,11.11111111111111
141,Ms. Marvel,Sophia Mahmud,True,11.11111111111111
142,Ms. Marvel,Mehwish Hayat,True,11.11111111111111
143,Ms. Marvel,Fawad Khan,True,11.11111111111111
144,The Bear,Jeremy Allen White,True,16.666666666666664
145,The Bear,Ebon Moss-Bachrach,True,16.666666666666664
146,The Bear,Ayo Edebiri,True,16.666666666666664
147,The Bear,Lionel Boyce,True,16.666666666666664
148,The Bear,Liza Colón-Zayas,True,16.666666666666664
149,The Bear,Edwin Lee Gibson,True,16.666666666666664
150,The Bear,Corey Hendrix,True,16.666666666666664
151,The Bear,Richard Esteras,True,16.666666666666664
152,The Bear,Jose M. Cervantes,True,16.666666666666664
153,The Bear,Abby Elliott,['https://en.wikipedia.org/wiki/Chris_Elliott'],16.666666666666664
154,The Bear,Matty Matheson,True,16.666666666666664
155,The Bear,Chris Witaske,True,16.666666666666664
156,The Bear,Joel McHale,True,16.666666666666664
157,The Bear,Carmen Christopher,True,16.666666666666664
158,The Bear,Christopher Zucchero,True,16.666666666666664
159,The Bear,Oliver Platt,['https://en.wikipedia.org/wiki/Nicholas_Platt'],16.666666666666664
160,The Bear,Jon Bernthal,"['https://en.wikipedia.org/wiki/Tom_Bernthal', 'https://en.wikipedia.org/wiki/Murray_Bernthal', 'https://en.wikipedia.org/wiki/Adam_Schlesinger', 'https://en.wikipedia.org/wiki/Kurt_Angle']",16.666666666666664
161,The Bear,Millie Hurley,True,16.666666666666664
162,Better Call Saul,Bob Odenkirk,['https://en.wikipedia.org/wiki/Bill_Odenkirk'],11.11111111111111
163,Better Call Saul,Rhea Seehorn,True,11.11111111111111
164,Better Call Saul,Jonathan Banks,True,11.11111111111111
165,Better Call Saul,Michael Mando,True,11.11111111111111
166,Better Call Saul,Patrick Fabian,True,11.11111111111111
167,Better Call Saul,Giancarlo Esposito,True,11.11111111111111
168,Better Call Saul,Michael McKean,True,11.11111111111111
169,Better Call Saul,Tony Dalton,True,11.11111111111111
170,Better Call Saul,Mark Margolis,True,11.11111111111111
171,Better Call Saul,Kerry Condon,True,11.11111111111111
172,Better Call Saul,Ray Campbell,True,11.11111111111111
173,Better Call Saul,Jeremiah Bitsui,True,11.11111111111111
174,Better Call Saul,Cara Pifko,True,11.11111111111111
175,Better Call Saul,Dennis Boutsikaris,True,11.11111111111111
176,Better Call Saul,Josh Fadem,True,11.11111111111111
177,Better Call Saul,Julian Bonfiglio,True,11.11111111111111
178,Better Call Saul,Ed Begley Jr.,['https://en.wikipedia.org/wiki/Ed_Begley'],11.11111111111111
179,Better Call Saul,Rex Linn,True,11.11111111111111
180,Obi-Wan Kenobi,Ewan McGregor,['https://en.wikipedia.org/wiki/Denis_Lawson'],38.88888888888889
181,Obi-Wan Kenobi,Moses Ingram,True,38.88888888888889
182,Obi-Wan Kenobi,Vivien Lyra Blair,True,38.88888888888889
183,Obi-Wan Kenobi,Hayden Christensen,"['https://en.wikipedia.org/wiki/Tove_Christensen', 'https://en.wikipedia.org/wiki/Erik_Christensen']",38.88888888888889
184,Obi-Wan Kenobi,Sung Kang,True,38.88888888888889
185,Obi-Wan Kenobi,Rupert Friend,True,38.88888888888889
186,Obi-Wan Kenobi,James Earl Jones,['https://en.wikipedia.org/wiki/Robert_Earl_Jones'],38.88888888888889
187,Obi-Wan Kenobi,Jonathan Ho,True,38.88888888888889
188,Obi-Wan Kenobi,Oliver Ho,True,38.88888888888889
189,Obi-Wan Kenobi,Kumail Nanjiani,['https://en.wikipedia.org/wiki/Shereen_Nanjiani'],38.88888888888889
190,Obi-Wan Kenobi,O'Shea Jackson Jr.,['https://en.wikipedia.org/wiki/Ice_Cube'],38.88888888888889
191,Obi-Wan Kenobi,Indira Varma,True,38.88888888888889
192,Obi-Wan Kenobi,Marisé Álvarez,True,38.88888888888889
193,Obi-Wan Kenobi,Maya Erskine,['https://en.wikipedia.org/wiki/Peter_Erskine'],38.88888888888889
194,Obi-Wan Kenobi,Rya Kihlstedt,['https://en.wikipedia.org/wiki/Carla_Kihlstedt'],38.88888888888889
195,Obi-Wan Kenobi,Jimmy Smits,True,38.88888888888889
196,Obi-Wan Kenobi,Indie DesRoches,True,38.88888888888889
197,Obi-Wan Kenobi,Aiden Arnold,True,38.88888888888889
198,Peaky Blinders,Cillian Murphy,True,16.666666666666664
199,Peaky Blinders,Paul Anderson,True,16.666666666666664
