,id,rank,title,worldwideLifetimeGross,domesticLifetimeGross,domestic,foreignLifetimeGross,foreign,year,cast,nepos,pct_nepo
47,tt0120338,3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,Suzy Amis,False,22.22222222222222
48,tt0120338,3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,Lewis Abernathy,False,22.22222222222222
49,tt0120338,3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,Nicholas Cascone,False,22.22222222222222
50,tt0120338,3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,Anatoly M. Sagalevitch,False,22.22222222222222
51,tt0120338,3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,Danny Nucci,False,22.22222222222222
52,tt0120338,3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,Jason Barry,False,22.22222222222222
53,tt0120338,3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,Ewan Stewart,['https://en.wikipedia.org/wiki/Andy_Stewart_(musician)'],22.22222222222222
54,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Daisy Ridley,['https://en.wikipedia.org/wiki/Arnold_Ridley'],33.33333333333333
55,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,John Boyega,False,33.33333333333333
56,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Oscar Isaac,['https://en.wikipedia.org/wiki/Nicole_Hernandez_Hammer'],33.33333333333333
57,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Domhnall Gleeson,['https://en.wikipedia.org/wiki/Brendan_Gleeson'],33.33333333333333
58,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Harrison Ford,False,33.33333333333333
